ID,Carimbo de data/hora,Obrigado! Você quer participar desta pesquisa?,Idade,Gênero,Maior grau acadêmico,Anos de experiência em desenvolvimento de software,Número de projetos de desenvolvimento de software que participou,"Na sua opinião, qual o seu nível de experiência com desenvolvimento de software?",Função atual na empresa:,Linguagens de programação que você é proficiente,2.1 Descreva casos onde você esteve envolvido em discussões sobre Requisitos Não Funcionais (NFRs) no desenvolvimento de software,2.2 O que leva você a participar ativamente quando encontra discussões relacionadas a RNFs em seu projeto (Selecione todos que se aplicam),2.3 Quais RNFs você normalmente discute durante o desenvolvimento de software? (Selecione todos que se aplicam),2.4 Qual é o seu nível de contribuição para a elicitação e especificação de RNFs?,"2.5 Ao lidar com problemas relacionados a RNFs, como você acessa as informações necessárias? (Selecione todos que se aplicam)","2.6 De acordo com minha experiência, Requisitos Não Funcionais (RNFs) são cruciais para o sucesso do projeto.",2.7 Em qual fase do desenvolvimento de software você observou discussões sobre NFRs? (Selecione todas que se aplicam),"2.8 Nos projetos de software dos quais você participou, haviam especialistas dedicados a tratar questões associadas a Requisitos Não Funcionais (RNFs) dentro do sistema? Se tais especialistas existiam, eles tinham um papel distinto dentro do sistema? Por favor, detalhe.",3.1 Quais estratégias você usa para garantir que os RNFs sejam considerados adequadamente durante o desenvolvimento? (Selecione todos que se aplicam),3.1.1 Explique como e quando isso acontece:,"3.2 Durante as discussões de requisitos não funcionais em sistemas de código aberto, quais desafios você enfrentou (Selecione todos que se aplicam)",4.1 Você recebeu ou deu alguma sugestão útil sobre como abordar os RNFs nos projetos em que participou? Descreva como isso aconteceu e como influenciou sua abordagem para lidar com RNFs.,,,
1,23/08/2023 18:24:23,Sim,32,Masculino,Mestrado,10,6,Alto,Engenheiro de Software,"Java, Python",As discussões geralmente se concentram em questões que impactam no desempenho e na usabilidade.,"Impacto na qualidade do software que você usa, Alinhamento com os objetivos do projeto, Potenciais riscos de NFRs não serem abordadas","Desempenho: Velocidade, capacidade de resposta e eficiência do software., Escalabilidade: Capacidade de lidar com o aumento da carga de trabalho ou do tráfego de usuários., Segurança: Medidas para proteger os dados e impedir o acesso não autorizado., Usabilidade: Facilidade de uso e facilidade de interação., Manutenibilidade: Facilidade de fazer atualizações e alterações no software.",Alto,"Documentação de requisitos, Plataformas de bate-papo com a equipe (por exemplo, Teams, Slack, Discord), Reuniões, Com outros colegas (mais experientes)",Concordo Fortemente,"Fase inicial (por exemplo, a fase de design), Fase de desenvolvimento, Fase de testes, Iterativamente durante o todo ciclo de vida de software",Não ,"Revisar e refinar as definições de RNFs no início do processo de desenvolvimento, Colaborar com outros membros da equipe para coletar insights, Integrando a testagem de RNFs no pipeline de integração contínua",Ao longo de todo o projeto ,Nenhum,"A sugestão que dou é que os RNFs devem ser tratados com tanta prioridade quanto os demais requisitos, sempre devem ser planejados com antecedência e revisados constantemente ao longo do projeto",,,
2,24/08/2023 11:40:33,Sim,47,Masculino,Mestrado,10,20,Alto,professor,Java,"Ensino Didático, visitas técnicas, oficinas, palestras","Impacto na qualidade do software que você usa, Potenciais riscos de NFRs não serem abordadas, Oportunidade de aprendizado","Desempenho: Velocidade, capacidade de resposta e eficiência do software., Escalabilidade: Capacidade de lidar com o aumento da carga de trabalho ou do tráfego de usuários., Robustez: Capacidade do software de se recuperar em diversas condições., Segurança: Medidas para proteger os dados e impedir o acesso não autorizado.",Baixo,"Documentação de requisitos, Comentários do código, Reuniões",Concordo,Iterativamente durante o todo ciclo de vida de software,Não. ,Revisar e refinar as definições de RNFs no início do processo de desenvolvimento,"De acordo com o levantamento de dados, considerando o porte do projeto, requisitos e a equipe de desenvolvimento, analisa-se se os RNFs estão de acordo.","Ambiguidade em definir e articular RNFs claramente, Compreensão limitada das implicações técnicas dos RNFs","Sim, na validação inicial do projeto, um dos validadores, conforme o ambiente em que o projeto seria implementado, citou diversos possíveis problemas que poderiam ocorrer e afetar o funcionamento do software.",,,
3,24/08/2023 22:52:06,Sim,37,Masculino,Bacharel,12,12,Alto,Engenheiro de Software,Java,"Casos em que eram necessários otimização de desempenho, segurança ou redução de custos de infraestrutura ",Impacto na qualidade do software que você usa,"Desempenho: Velocidade, capacidade de resposta e eficiência do software., Escalabilidade: Capacidade de lidar com o aumento da carga de trabalho ou do tráfego de usuários., Robustez: Capacidade do software de se recuperar em diversas condições., Disponibilidade: Tempo de atividade do sistema e acessibilidade para os usuários., Segurança: Medidas para proteger os dados e impedir o acesso não autorizado., Usabilidade: Facilidade de uso e facilidade de interação., Manutenibilidade: Facilidade de fazer atualizações e alterações no software.",Alto,"Documentação de requisitos, Plataformas de bate-papo com a equipe (por exemplo, Teams, Slack, Discord), Discussões em plataformas de versionamento (por exemplo, issues e pull requests), Reuniões, Com outros colegas (mais experientes)",Concordo Fortemente,"Fase inicial (por exemplo, a fase de design), Fase de desenvolvimento, Fase de testes, Fase de implantação, Fase de manutenção, Iterativamente durante o todo ciclo de vida de software",Todos desenvolveres eram responsáveis ,"Revisar e refinar as definições de RNFs no início do processo de desenvolvimento, Colaborar com outros membros da equipe para coletar insights, Conduzir revisões de código focadas em RNFs",Constante em todas etapas de desenvolvimento,Lidando com trade-offs entre diferentes requisitos não funcionais,Nada específico ,,,
4,24/08/2023 23:25:34,Sim,32,Masculino,Mestrado,6,8,Alto,Desenvolvedor de Software,"Java, Python, C",1) Desenvolvimento de um modelo de ML de detecção de fraude onde o tempo de inferência do modelo tinha que ser menor a 0.5segundos. 2) Desenvolvimento de um modelo de ML onde a explicabilidade dos resultados do modelo tinha uma importância relevante para os usuários. ,"Impacto na qualidade do software que você usa, Alinhamento com os objetivos do projeto","Desempenho: Velocidade, capacidade de resposta e eficiência do software., Usabilidade: Facilidade de uso e facilidade de interação., Manutenibilidade: Facilidade de fazer atualizações e alterações no software.",Alto,"Reuniões, Com outros colegas (mais experientes), pesquisas em sites como Medium. ",Concordo,Iterativamente durante o todo ciclo de vida de software,"Não tive colegas dedicados a este tipo de requisitos. A maioria das vezes, esses requisitos foram abordados por desenvolvedores e arquitetos de software experientes. ","Revisar e refinar as definições de RNFs no início do processo de desenvolvimento, Colaborar com outros membros da equipe para coletar insights","A maioria das vezes, os RNFs que são abordados na fase de desenvolvimento vem da especificação de requisitos. Algumas vezes, RNFs surgem durante a fase de testes ao identificar que alguma característica não foi atingida. ","Nenhum, Não tenho trabalhado com sistemas de código aberto",Uso de catálogos de RNFs e arquiteturas de referencia tipicamente dão uma luz. ,,,
5,26/08/2023 11:34:50,Sim,30,Masculino,Mestrado,5,4,Alto,Desenvolvedor de Software,"Python, JavaScript, PHP","Recentemente, nos deparamos com uma situação em que abordamos os requisitos de segurança para a comunicação de um sistema com uma rede blockchain. Nesse contexto, tivemos que assegurar desempenho, mas também a integridade e segurança na transmissão dos dados que são registrados na rede. Além disso, tivermos que garantir que permanecemos em conformidade as diretrizes da LGPD, garantindo por exemplo, o tratamento das informações sensíveis.","Alinhamento com os objetivos do projeto, Potenciais riscos de NFRs não serem abordadas","Desempenho: Velocidade, capacidade de resposta e eficiência do software., Segurança: Medidas para proteger os dados e impedir o acesso não autorizado., Manutenibilidade: Facilidade de fazer atualizações e alterações no software.",Baixo,"Documentação de requisitos, Plataformas de bate-papo com a equipe (por exemplo, Teams, Slack, Discord), Reuniões",Concordo Fortemente,Fase de desenvolvimento,"Não existiam, nós desenvolvedores tivemos que lidar com isso.",Revisar e refinar as definições de RNFs no início do processo de desenvolvimento,"durante o inicio do processo, é feita uma reunião com os desenvolvedores para ser definido os RNFs e então documentado","Falta de documentação clara para requisitos não funcionais no sistema de código aberto, Comunicação inadequada entre os membros da equipe sobre requisitos não funcionais",Não lembro,,,
6,26/08/2023 11:53:27,Sim,37,Masculino,Mestrado,20,12,Muito alto,Engenheiro de Software,"C#, JavaScript","Pensando em requisitos vinculados a desempenho, o mais interessante foi como armazenar, enriquecer, agregar e apresentar de forma dinâmica os dados de pós-negociação com um volume de pico de 1 milhão de negócios por dia e SLA de no máximo 2 segundos de latência para filtros sobre qualquer campo do negócio.",Impacto na qualidade do software que você usa,"Desempenho: Velocidade, capacidade de resposta e eficiência do software., Escalabilidade: Capacidade de lidar com o aumento da carga de trabalho ou do tráfego de usuários., Robustez: Capacidade do software de se recuperar em diversas condições., Disponibilidade: Tempo de atividade do sistema e acessibilidade para os usuários., Manutenibilidade: Facilidade de fazer atualizações e alterações no software.",Muito alto,"Plataformas de bate-papo com a equipe (por exemplo, Teams, Slack, Discord), Discussões em plataformas de versionamento (por exemplo, issues e pull requests), Reuniões",Concordo Fortemente,"Fase inicial (por exemplo, a fase de design), Fase de desenvolvimento, Fase de testes, Fase de implantação, Fase de manutenção, Iterativamente durante o todo ciclo de vida de software",Sim e não. Na empresa em que trabalho os desenvolvedores não são alocados segundo especialidade (apesar de cada um naturalmente ter a sua). Os problemas são publicados para todos e cada qual escolhe se consegue / pode contribuir.,"Conduzir revisões de código focadas em RNFs, Empregar ferramentas ou frameworks específicos para avaliação de RNFs, Integrando a testagem de RNFs no pipeline de integração contínua","Cada PR é revisado e naturalmente durante a revisão pontos de melhoria (no meu caso, em especial falando de desempenho) são discutidos. Os testes de desempenho para evitar regressão acontecem ao fim do dia sobre a última versão da branch 'nightly'. Ocasionamente os testes precisam ser alterados para cobrir problemas encontrados em produção.","Ferramentas ou frameworks insuficientes para testar e verificar aspectos não funcionais, Lidando com trade-offs entre diferentes requisitos não funcionais",Documentos de requisitos servem para muito pouca coisa e normalmente mais atrapalham do que ajudam pois refletem a realidade do momento em que foram escritos e o custo de manutenção deles é alto sobre o retorno,,,
7,26/08/2023 13:35:56,Sim,31,Masculino,Especialização/MBA,4,2,Baixo,Gerência de Projeto,C,Sistemas de Inventário de uma indústria,Potenciais riscos de NFRs não serem abordadas,"Desempenho: Velocidade, capacidade de resposta e eficiência do software., Escalabilidade: Capacidade de lidar com o aumento da carga de trabalho ou do tráfego de usuários., Disponibilidade: Tempo de atividade do sistema e acessibilidade para os usuários., Segurança: Medidas para proteger os dados e impedir o acesso não autorizado., Usabilidade: Facilidade de uso e facilidade de interação., Manutenibilidade: Facilidade de fazer atualizações e alterações no software.",Alto,Documentação de requisitos,Concordo Fortemente,"Fase inicial (por exemplo, a fase de design)",Sim,"Revisar e refinar as definições de RNFs no início do processo de desenvolvimento, Colaborar com outros membros da equipe para coletar insights",Reuniões de levantamento de requisitos com o dono do processo de negócio,"Comunicação inadequada entre os membros da equipe sobre requisitos não funcionais, Ferramentas ou frameworks insuficientes para testar e verificar aspectos não funcionais, Lidando com trade-offs entre diferentes requisitos não funcionais",Abordagem colaborativa com todas as partes interessadas do projeto,,,
8,26/08/2023 15:38:29,Sim,35,Masculino,Bacharel,16,100,Muito alto,Gerência de Projeto,"C#, C++",Os sistemas que desenvolvemos precisam lidar com uma volumetria muito expressiva e latência baixa. Então em quase todo projeto temos que lidar com requisitos não funcionais ,"Relevância para sua área de expertise, Alinhamento com os objetivos do projeto, Potenciais riscos de NFRs não serem abordadas","Desempenho: Velocidade, capacidade de resposta e eficiência do software., Escalabilidade: Capacidade de lidar com o aumento da carga de trabalho ou do tráfego de usuários., Robustez: Capacidade do software de se recuperar em diversas condições., Disponibilidade: Tempo de atividade do sistema e acessibilidade para os usuários., Usabilidade: Facilidade de uso e facilidade de interação., Manutenibilidade: Facilidade de fazer atualizações e alterações no software.",Muito alto,"Documentação de requisitos, Plataformas de bate-papo com a equipe (por exemplo, Teams, Slack, Discord), Discussões em plataformas de versionamento (por exemplo, issues e pull requests), Reuniões, E-mail",Concordo Fortemente,"Fase inicial (por exemplo, a fase de design), Fase de desenvolvimento, Fase de testes, Fase de implantação, Fase de manutenção, Iterativamente durante o todo ciclo de vida de software","Em geral não há 1 pessoa especificamente voltada a nfr porque incentivamos que todos olhem NFR como um aspecto Cross, presente em todas as atividades e funcionalidades implementadas. Todos devem dominar o tema e não terceirizsr para um ""especialista""","Revisar e refinar as definições de RNFs no início do processo de desenvolvimento, Colaborar com outros membros da equipe para coletar insights, Conduzir revisões de código focadas em RNFs, Empregar ferramentas ou frameworks específicos para avaliação de RNFs",-,"Nenhum, -","Citando exemplos, sendo detalhista e concreto, mostrando o caminho das pedras, mostrando que é talvez o aspecto mais interessante para nós desenvolvedores (é onde as coisas ficam complexas e desafiadoras, ninguém gosta de ficar implementando crud boçal)",,,
9,26/08/2023 15:53:50,Sim,22,Masculino,Bacharel,2,2,Alto,Engenheiro de Software,"Java, C#",Desenvolvimento de provas de conceito,Oportunidade de aprendizado,"Desempenho: Velocidade, capacidade de resposta e eficiência do software., Escalabilidade: Capacidade de lidar com o aumento da carga de trabalho ou do tráfego de usuários., Manutenibilidade: Facilidade de fazer atualizações e alterações no software.",Baixo,"Documentação de requisitos, Plataformas de bate-papo com a equipe (por exemplo, Teams, Slack, Discord), Discussões em plataformas de versionamento (por exemplo, issues e pull requests), Reuniões, Com outros colegas (mais experientes)",Concordo,Iterativamente durante o todo ciclo de vida de software,Em um sim e no outro não. No mais recente há uma equipe que faz a entrega dos requisitos e documentações mas não implementa-a,"Revisar e refinar as definições de RNFs no início do processo de desenvolvimento, Empregar ferramentas ou frameworks específicos para avaliação de RNFs",São coletadas as métricas com as ferramentas para avaliar no final dos ciclos da sprint e ao desenvolver novos projetos há reuniões para discussão dos requisitos,"Comunicação inadequada entre os membros da equipe sobre requisitos não funcionais, Lidando com trade-offs entre diferentes requisitos não funcionais, Compreensão limitada das implicações técnicas dos RNFs",Não,,,
10,26/08/2023 16:21:57,Sim,38,Masculino,Ensino Médio,20,30,Alto,Desenvolvedor de Software,"Java, C, C#, C++, JavaScript, VB6, VB.Net, ASP, SQL, Swift","Escalabilidad del sistema, casos de uso, diagramas de flujo, DER, documentaciones varias, seguridad, etc.","Impacto na qualidade do software que você usa, Alinhamento com os objetivos do projeto, Potenciais riscos de NFRs não serem abordadas, Profesionalidad","Desempenho: Velocidade, capacidade de resposta e eficiência do software., Escalabilidade: Capacidade de lidar com o aumento da carga de trabalho ou do tráfego de usuários., Robustez: Capacidade do software de se recuperar em diversas condições., Disponibilidade: Tempo de atividade do sistema e acessibilidade para os usuários., Segurança: Medidas para proteger os dados e impedir o acesso não autorizado., Usabilidade: Facilidade de uso e facilidade de interação., Manutenibilidade: Facilidade de fazer atualizações e alterações no software.",Alto,"Documentação de requisitos, Plataformas de bate-papo com a equipe (por exemplo, Teams, Slack, Discord), Comentários do código, Discussões em plataformas de versionamento (por exemplo, issues e pull requests), Reuniões, E-mail",Concordo Fortemente,"Fase inicial (por exemplo, a fase de design), Fase de desenvolvimento, Fase de testes, Fase de implantação, Fase de manutenção, Iterativamente durante o todo ciclo de vida de software, Lamentablemente en casi todas las etapas",Lamentablemente casi nunca hay especialistas de NFR y debo yo insistir en su importancia ,"Revisar e refinar as definições de RNFs no início do processo de desenvolvimento, Conduzir revisões de código focadas em RNFs",Abordar la importancia de los RNF desde el principio y comunicar a todos los involucrados para que las conozcan,No participé en desarrollos de código abierto,"Aclaro desde un comienzo del desarrollo que el tiempo invertido en RNF a la larga se recupera, y que voy a tomar medidas para implementar RNF necesariamente para realizar el desarrollo, caso contrario no acepto el proyecto.",,,
11,26/08/2023 17:57:00,Sim,32,Masculino,Bacharel,3,4,Alto,Desenvolvedor de software e técnico da TI,"Java, Python, Dart -> flutter ","Durante a fase inicial do desenvolvimento dos projetos, muito dos NFRs são facilmente reconhecidos, quando a empresa está dando a devida importância as perguntas da coleta e  análise de requisitos.","Impacto na qualidade do software que você usa, Alinhamento com os objetivos do projeto, Quando se tentam implementar um novo NFR, depois da confirmação do projetor, além disso ser ser algo fora das boas práticas do desenvolvimento, pode causar uma falha ou atraso da entrega do projeto.","Escalabilidade: Capacidade de lidar com o aumento da carga de trabalho ou do tráfego de usuários., Disponibilidade: Tempo de atividade do sistema e acessibilidade para os usuários., Segurança: Medidas para proteger os dados e impedir o acesso não autorizado., Usabilidade: Facilidade de uso e facilidade de interação.",Alto,"Documentação de requisitos, Plataformas de bate-papo com a equipe (por exemplo, Teams, Slack, Discord), Comentários do código, Reuniões",Concordo,"Fase inicial (por exemplo, a fase de design), Fase de desenvolvimento","Existia dentro da maioria. Esclarecer aos desenvolvedores, quais as tecnologias que seriam aplicadas ao projeto e/ou saber quais programadores estavam aptos para iniciar o projeto de imediato e quais precisavam passar por um período de aprendizado, sobre essas tecnologias.","Revisar e refinar as definições de RNFs no início do processo de desenvolvimento, Colaborar com outros membros da equipe para coletar insights, Conduzir revisões de código focadas em RNFs","Durante o desenvolvimento, caso exista alguma dúvida sobre os NFRs, é procurando pela documentação pré estabelecida, caso não seja o suficiente, o ideal é pedir a cooperação de membros da equipe. Se mesmo assim não houver solução é agendado uma reunião entre as partes envolvidas. (Se chegar a parte da reunião, se prova uma falha na coleta e análise de requisitos)","Falta de documentação clara para requisitos não funcionais no sistema de código aberto, Comunicação inadequada entre os membros da equipe sobre requisitos não funcionais, Compreensão limitada das implicações técnicas dos RNFs","Geralmente fico responsável por deixar as NFRs, mais plausíveis, pelo tempo estabelecido e recursos computacionais. Muitos desenvolvedores no começo do projeto especulam NFRs, para inovação da ferramenta, que são muito fora da realidade para o pedido do cliente. Mas caso exista alguma forma de implementar tais recursos de forma que não atrapalhe o projeto, aceito tal sugestão e continuo a lidar com os próximos NFRs.",,,
12,26/08/2023 20:58:39,Sim,35,Feminino,Mestrado,17,15,Muito alto,CEO,"Python, JavaScript","Em todos os projetos que já trabalhei. Alguns deles no papel de consultora de Eng de Requisitos, em outros como product owner","Relevância para sua área de expertise, Impacto na qualidade do software que você usa, Alinhamento com os objetivos do projeto","Desempenho: Velocidade, capacidade de resposta e eficiência do software., Escalabilidade: Capacidade de lidar com o aumento da carga de trabalho ou do tráfego de usuários., Robustez: Capacidade do software de se recuperar em diversas condições., Disponibilidade: Tempo de atividade do sistema e acessibilidade para os usuários., Segurança: Medidas para proteger os dados e impedir o acesso não autorizado., Usabilidade: Facilidade de uso e facilidade de interação., Manutenibilidade: Facilidade de fazer atualizações e alterações no software.",Muito alto,"Plataformas de bate-papo com a equipe (por exemplo, Teams, Slack, Discord), Discussões em plataformas de versionamento (por exemplo, issues e pull requests), Reuniões, Confesso que não entendi muito bem essa pergunta. “As informações necessárias” para diagnóstico ou resolução?",Concordo Fortemente,"Fase inicial (por exemplo, a fase de design), Fase de desenvolvimento, Fase de testes, Fase de implantação, Fase de manutenção, Iterativamente durante o todo ciclo de vida de software","Não, eram tratados por todos do time","Revisar e refinar as definições de RNFs no início do processo de desenvolvimento, Colaborar com outros membros da equipe para coletar insights, Integrando a testagem de RNFs no pipeline de integração contínua","Na minha empresa não temos um processo definido que garanta que não vamos esquecer dos RNFs. No entanto, pela minha experiência e visão do quão importante eles são, sempre levanto discussão relacionada a eles na concepção e manutenção de todas as funcionalidades. Também incluímos alguns testes de desempenho e robustez no pipeline de IC (mas ainda fazemos isso menos do que eu gostaria)","Ferramentas ou frameworks insuficientes para testar e verificar aspectos não funcionais, Lidando com trade-offs entre diferentes requisitos não funcionais","Eu sempre reforço muito a importância dos RNFs e garanto que sejam tratados com a devida prioridade. No entanto, faço isso de forma tácita, sem metodologia formal de apoio",,,
13,27/08/2023 11:16:40,Sim,26,Masculino,Bacharel,6,2,Alto,Engenheiro de Software,"C#, PHP",Necessidade de reduzir o tempo de carregamento de uma página web que deveria disponibilizar dezenas de milhares de registros. Controle do consumo de memória de uma aplicação com milhões de registros armazenados em memória.,"Impacto na qualidade do software que você usa, Alinhamento com os objetivos do projeto","Desempenho: Velocidade, capacidade de resposta e eficiência do software., Escalabilidade: Capacidade de lidar com o aumento da carga de trabalho ou do tráfego de usuários., Robustez: Capacidade do software de se recuperar em diversas condições., Usabilidade: Facilidade de uso e facilidade de interação., Manutenibilidade: Facilidade de fazer atualizações e alterações no software.",Baixo,"Plataformas de bate-papo com a equipe (por exemplo, Teams, Slack, Discord), Reuniões, Com outros colegas (mais experientes)",Concordo,"Fase inicial (por exemplo, a fase de design), Fase de desenvolvimento, Fase de testes, Fase de manutenção",Não,"Revisar e refinar as definições de RNFs no início do processo de desenvolvimento, Colaborar com outros membros da equipe para coletar insights, Conduzir revisões de código focadas em RNFs","Durante a concepção da solução de software, o time elenca os RNFs tipicamente baseando-se na experiência prévia ou em algum ponto específico levantado junto aos clientes. Durante a fase de revisão de código, os revisadores também avaliam pontos principalmente relacionados ao desempenho e escalabilidade do código desenvolvido.",Nunca participei de tais discussões.,Uma das sugestões mais úteis que já recebi foi a de realizar bechmarks para simular o comportamento de um trecho de código ou algoritmo sob diferentes condições. Isso permite revisar e/ou refatorar o código para que atende às especificações do projeto.,,,
14,27/08/2023 20:24:21,Sim,32,Masculino,Mestrado,8,8,Muito alto,Engenheiro de Software,"Java, Python, C, JavaScript",Requisitos referentes a escalabilidade e segurança de sistemas,"Impacto na qualidade do software que você usa, Alinhamento com os objetivos do projeto, Potenciais riscos de NFRs não serem abordadas","Desempenho: Velocidade, capacidade de resposta e eficiência do software., Escalabilidade: Capacidade de lidar com o aumento da carga de trabalho ou do tráfego de usuários., Robustez: Capacidade do software de se recuperar em diversas condições., Disponibilidade: Tempo de atividade do sistema e acessibilidade para os usuários., Segurança: Medidas para proteger os dados e impedir o acesso não autorizado., Manutenibilidade: Facilidade de fazer atualizações e alterações no software.",Alto,"Documentação de requisitos, Plataformas de bate-papo com a equipe (por exemplo, Teams, Slack, Discord), Reuniões",Concordo Fortemente,"Fase inicial (por exemplo, a fase de design), Fase de desenvolvimento, Fase de testes, Fase de implantação, Fase de manutenção, Iterativamente durante o todo ciclo de vida de software","Sim, ficavam a cargo dos SREs (Site Reliability Engineering) e Engenheiros de software.","Revisar e refinar as definições de RNFs no início do processo de desenvolvimento, Colaborar com outros membros da equipe para coletar insights, Empregar ferramentas ou frameworks específicos para avaliação de RNFs, Integrando a testagem de RNFs no pipeline de integração contínua","Todos os sistemas seguem um conjunto de normas desde a sua concepção para garantir a escalabilidade, segurança e disponibilidade.",Nenhum,"Sim, discussões sobre camadas de segurança com API gateways e limites de requisições.",,,
